full_name;sex;birth_year;city;country;continent;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
Pope Pius VI;Male;1717;Cesena;Italy;Europe;Religious Figure;Religion;Institutions;60;1284840;21414;247.782
Albert II of Germany;Male;1397;Vienna;Austria;Europe;Politician;Government;Institutions;37;462110;12489;247.768
Antigonus II Gonatas;Male;-319;Thessaly;Greece;Europe;Politician;Government;Institutions;32;290210;9069;247.762
John III of Sweden;Male;1537;Östergötland;Sweden;Europe;Politician;Government;Institutions;32;627764;19618;247.752
Romano Prodi;Male;1939;Scandiano;Italy;Europe;Politician;Government;Institutions;77;2521916;32752;247.751
Andrei Chikatilo;Male;1936;Yablochnoye;Ukraine;Europe;Extremist;Outlaws;Public Figure;32;5300315;165635;247.749
Joe Cocker;Male;1944;Sheffield;United Kingdom;Europe;Singer;Music;Arts;40;6469163;161729;247.748
William Rowan Hamilton;Male;1805;Dublin;Ireland;Europe;Physicist;Natural Sciences;Science & Technology;48;1119203;23317;247.746
Alexander Scriabin;Male;1872;Moscow;Russia;Europe;Composer;Music;Arts;41;1719372;41936;247.745
Antipater;Male;-397;Other;Unknown;Unknown;Military Personnel;Military;Institutions;35;385518;11015;247.743
Richard Stallman;Male;1953;New York;United States;North America;Computer Scientist;Computer Science;Science & Technology;89;5605045;62978;247.743
Alois Alzheimer;Male;1864;Marktbreit;Germany;Europe;Physician;Medicine;Science & Technology;45;1144068;25424;247.741
Glenn Miller;Male;1904;Clarinda;United States;North America;Musician;Music;Arts;41;4472960;109097;247.734
Pierre de Beaumarchais;Male;1732;Paris;France;Europe;Writer;Language;Humanities;40;1690085;42252;24.773
Pietro Aretino;Male;1492;Arezzo;Italy;Europe;Writer;Language;Humanities;31;859424;27723;247.726
Kurt von Schleicher;Male;1882;Brandenburg;Germany;Europe;Politician;Government;Institutions;39;1540639;39504;24.772
Mikhail Kalinin;Male;1875;Verkhnyaya Troitsa;Russia;Europe;Public Worker;Government;Institutions;38;977201;25716;247.691
Pope Gregory XI;Male;1336;Maumont;France;Europe;Religious Figure;Religion;Institutions;48;675533;14074;247.681
William Howard Taft;Male;1857;Cincinnati;United States;North America;Politician;Government;Institutions;85;7254933;85352;247.676
Bessus;Male;-350;Other;Unknown;Unknown;Politician;Government;Institutions;27;376604;13948;247.673
Guillaume Dufay;Male;1397;Brussels;Belgium;Europe;Composer;Music;Arts;32;792320;24760;247.671
Valentinian II;Male;371;Trier;Germany;Europe;Politician;Government;Institutions;39;557493;14295;247.655
Alexander Dubček;Male;1921;Uhrovec;Slovakia;Europe;Politician;Government;Institutions;47;1473196;31345;247.654
Pierre Teilhard de Chardin;Male;1881;Orcines;France;Europe;Philosopher;Philosophy;Humanities;40;2058456;51461;247.649
Georg Agricola;Male;1494;Glauchau;Germany;Europe;Physician;Medicine;Science & Technology;38;483744;12730;247.648
Saint Cecilia;Female;101;Rome;Italy;Europe;Religious Figure;Religion;Institutions;29;2685470;92602;247.645
Artemisia Gentileschi;Female;1593;Rome;Italy;Europe;Painter;Fine Arts;Arts;33;2316125;70186;247.645
Albert of Saxe-Coburg and Gotha;Male;1819;Coburg;Germany;Europe;Nobleman;Government;Institutions;35;1684150;48119;247.643
William Hogarth;Male;1697;London;United Kingdom;Europe;Artist;Fine Arts;Arts;48;2080865;43351;247.641
Pierre de Fermat;Male;1601;Beaumont-de-Lomagne;France;Europe;Mathematician;Math;Science & Technology;63;9398511;149183;247.641
Lev Landau;Male;1908;Baku;Azerbaijan;Asia;Physicist;Natural Sciences;Science & Technology;54;1160213;21485;24.763
Benedetto Croce;Male;1866;Pescasseroli;Italy;Europe;Philosopher;Philosophy;Humanities;39;1516509;38885;247.626
Pope Benedict XIV;Male;1675;Bologna;Italy;Europe;Religious Figure;Religion;Institutions;59;1053284;17852;247.623
Utagawa Hiroshige;Male;1797;Tokyo;Japan;Asia;Artist;Fine Arts;Arts;37;2151821;58157;247.623
John Dowland;Male;1563;London;United Kingdom;Europe;Musician;Music;Arts;32;1134928;35467;247.622
John I of Bohemia;Male;1296;Other;Luxembourg;Europe;Politician;Government;Institutions;28;887874;31710;247.617
Christopher Walken;Male;1943;New York;United States;North America;Actor;Film And Theatre;Arts;43;13335954;310138;247.616
Nicolas Léonard Sadi Carnot;Male;1796;Paris;France;Europe;Engineer;Engineering;Science & Technology;44;899876;20452;247.616
Esther;Female;-1000;Susa;Iran;Asia;Religious Figure;Religion;Institutions;29;2951867;101789;247.613
Louis II of Hungary;Male;1506;Buda;Hungary;Europe;Politician;Government;Institutions;39;661874;16971;24.76
Nadine Gordimer;Female;1923;Springs;South Africa;Africa;Writer;Language;Humanities;65;1444983;22231;24.76
Tiberios III;Male;650;Pamphylia;Turkey;Asia;Politician;Government;Institutions;36;180127;5004;247.596
Aristide Briand;Male;1862;Nantes;France;Europe;Politician;Government;Institutions;46;1216844;26453;24.759
Oscar I of Sweden;Male;1799;Paris;France;Europe;Politician;Government;Institutions;38;973753;25625;247.589
Buddy Holly;Male;1936;Lubbock;United States;North America;Musician;Music;Arts;50;10606988;212140;247.588
Baron Haussmann;Male;1809;Paris;France;Europe;Architect;Design;Arts;38;1799542;47356;247.581
Pope Victor II;Male;1018;Bavaria;Germany;Europe;Religious Figure;Religion;Institutions;46;400864;8714;247.575
Gnaeus Naevius;Male;-264;Capua;Italy;Europe;Writer;Language;Humanities;32;284075;8877;247.573
Carl Schmitt;Male;1888;Plettenberg;Germany;Europe;Philosopher;Philosophy;Humanities;29;1991959;68688;247.569
Béla IV of Hungary;Male;1206;Other;Hungary;Europe;Politician;Government;Institutions;35;632862;18082;247.567
Hulk Hogan;Male;1953;Augusta;United States;North America;Wrestler;Individual Sports;Sports;43;23368243;543448;247.565
Pope Silverius;Male;536;Frosinone;Italy;Europe;Religious Figure;Religion;Institutions;52;410741;7899;247.561
Qu Yuan;Male;-340;Chu;China;Asia;Writer;Language;Humanities;30;913850;30462;247.559
Eumenes;Male;-362;Other;Unknown;Unknown;Military Personnel;Military;Institutions;27;668245;24750;247.558
Ernst Ludwig Kirchner;Male;1880;Aschaffenburg;Germany;Europe;Artist;Fine Arts;Arts;39;2079684;53325;247.548
Wim Wenders;Male;1945;Düsseldorf;Germany;Europe;Film Director;Film And Theatre;Arts;41;3350995;81732;247.545
Carlo Collodi;Male;1826;Florence;Italy;Europe;Writer;Language;Humanities;48;1660407;34592;24.753
Babur;Male;1483;Andijan;Uzbekistan;Asia;Politician;Government;Institutions;54;3182197;58930;247.514
Mahmud II;Male;1785;Istanbul;Turkey;Asia;Politician;Government;Institutions;47;1409863;29997;24.751
John Galsworthy;Male;1867;Kingston upon Thames;United Kingdom;Europe;Writer;Language;Humanities;62;1021208;16471;24.751
Eumenes II;Male;-220;Other;Unknown;Unknown;Politician;Government;Institutions;30;211496;7050;247.498
Tatian;Male;120;Assyria;Iraq;Asia;Writer;Language;Humanities;30;267721;8924;247.498
Constantin Stanislavski;Male;1863;Moscow;Russia;Europe;Actor;Film And Theatre;Arts;42;2819431;67129;247.486
Hans Kelsen;Male;1881;Prague;Czech Republic;Europe;Philosopher;Philosophy;Humanities;31;2328160;75102;24.748
Giuseppe Meazza;Male;1910;Milan;Italy;Europe;Soccer Player;Team Sports;Sports;37;1983511;53608;247.478
Pope Simplicius;Male;400;Tivoli;Italy;Europe;Religious Figure;Religion;Institutions;52;295091;5675;247.476
Hughes de Payens;Male;1070;Troyes;France;Europe;Religious Figure;Religion;Institutions;27;583452;21609;247.469
John III of Portugal;Male;1502;Lisbon;Portugal;Europe;Politician;Government;Institutions;34;674406;19835;247.462
Amos;Male;-800;Tekoa;Palestine;Asia;Religious Figure;Religion;Institutions;29;215127;7418;247.461
John Cleese;Male;1939;Weston-super-Mare;United Kingdom;Europe;Actor;Film And Theatre;Arts;48;8899553;185407;247.457
Pope Anastasius IV;Male;1073;Rome;Italy;Europe;Religious Figure;Religion;Institutions;47;357597;7608;247.448
Arcesilaus;Male;-316;Bergama;Turkey;Asia;Philosopher;Philosophy;Humanities;27;193452;7165;247.425
Nurhaci;Male;1559;Other;Unknown;Unknown;Politician;Government;Institutions;28;1321450;47195;247.415
Nicolas Boileau-Despréaux;Male;1636;Paris;France;Europe;Writer;Language;Humanities;40;1187317;29683;247.414
Adolf von Baeyer;Male;1835;Berlin;Germany;Europe;Chemist;Natural Sciences;Science & Technology;52;533610;10262;247.412
Bernardo Bertolucci;Male;1940;Parma;Italy;Europe;Film Director;Film And Theatre;Arts;45;3216397;71475;247.411
Pope Clement IV;Male;1195;Saint-Gilles;France;Europe;Religious Figure;Religion;Institutions;47;486489;10351;247.409
Helmuth von Moltke the Elder;Male;1800;Mecklenburg-Schwerin;Germany;Europe;Military Personnel;Military;Institutions;35;1563809;44680;247.398
Brian De Palma;Male;1940;Newark;United States;North America;Film Director;Film And Theatre;Arts;39;4555988;116820;247.395
King Ludwig II of Bavaria;Male;1845;Munich;Germany;Europe;Politician;Government;Institutions;48;2972583;61929;247.386
Jawaharlal Nehru;Male;1889;Allahabad;India;Asia;Politician;Government;Institutions;93;8836581;95017;247.375
Pope Marinus I;Male;830;Gallese;Italy;Europe;Religious Figure;Religion;Institutions;48;318245;6630;247.371
Abd-ar-Rahman III;Male;912;Córdoba;Spain;Europe;Politician;Government;Institutions;34;821420;24159;24.737
Czesław Miłosz;Male;1911;Šeteniai;Lithuania;Europe;Writer;Language;Humanities;67;2967783;44295;247.366
Cambyses I of Anshan;Male;-600;Other;Unknown;Unknown;Politician;Government;Institutions;27;283544;10502;247.362
Pope Leo XI;Male;1535;Florence;Italy;Europe;Religious Figure;Religion;Institutions;54;807375;14951;247.357
Harold Godwinson;Male;1022;Wessex;United Kingdom;Europe;Politician;Government;Institutions;53;2599476;49047;247.354
Dean Martin;Male;1917;Steubenville;United States;North America;Musician;Music;Arts;35;11019285;314837;247.349
Paul Celan;Male;1920;Chernivtsi;Ukraine;Europe;Writer;Language;Humanities;37;1587823;42914;247.348
Johannes Stark;Male;1874;Freihung;Germany;Europe;Physicist;Natural Sciences;Science & Technology;51;491423;9636;247.345
Oskar Kokoschka;Male;1886;Pöchlarn;Austria;Europe;Painter;Fine Arts;Arts;35;1675646;47876;247.341
Berengar I of Italy, Holy Roman Emperor;Male;845;Other;Unknown;Unknown;Politician;Government;Institutions;30;356686;11890;24.734
Rashi;Male;1040;Troyes;France;Europe;Religious Figure;Religion;Institutions;28;1282804;45814;247.336
Ahmad ibn Fadlan;Male;900;Other;Unknown;Unknown;Writer;Language;Humanities;37;771760;20858;247.335
Otto Wagner;Male;1841;Penzing;Austria;Europe;Architect;Design;Arts;34;1060090;31179;247.318
Kenzaburō Ōe;Male;1935;Uchiko;Japan;Asia;Writer;Language;Humanities;62;2392257;38585;247.314
Edward the Martyr;Male;962;Wessex;United Kingdom;Europe;Politician;Government;Institutions;37;831835;22482;247.313
Hjalmar Schacht;Male;1877;Tinglev;Denmark;Europe;Economist;Social Sciences;Science & Technology;36;1561897;43386;247.311
Childeric II;Male;653;Other;Unknown;Unknown;Politician;Government;Institutions;29;237653;8195;247.298
Pope Gregory XV;Male;1554;Bologna;Italy;Europe;Religious Figure;Religion;Institutions;55;698045;12692;247.296
Michael Psellos;Male;1018;Istanbul;Turkey;Asia;Philosopher;Philosophy;Humanities;29;257182;8868;247.291
Thomas Muentzer;Male;1488;Stolberg;Germany;Europe;Social Activist;Activism;Public Figure;34;1015940;29881;24.729
Victor Horta;Male;1861;Ghent;Belgium;Europe;Architect;Design;Arts;33;1359574;41199;24.728
Leopold II, Holy Roman Emperor;Male;1747;Vienna;Austria;Europe;Politician;Government;Institutions;42;754923;17974;24.728
Pope Leo VII;Male;880;Rome;Italy;Europe;Religious Figure;Religion;Institutions;44;317582;7218;247.279
Clovis II;Male;637;Other;Unknown;Unknown;Politician;Government;Institutions;28;313798;11207;247.261
Max Horkheimer;Male;1895;Stuttgart;Germany;Europe;Philosopher;Philosophy;Humanities;40;1438508;35963;247.257
Alexander Alekhine;Male;1892;Moscow;Russia;Europe;Chessmaster;Individual Sports;Sports;55;997241;18132;247.253
Carl Czerny;Male;1791;Vienna;Austria;Europe;Composer;Music;Arts;34;916409;26953;247.252
Romanos IV;Male;1030;Other;Unknown;Unknown;Politician;Government;Institutions;39;389668;9991;247.243
Stan Lee;Male;1922;New York;United States;North America;Comic Artist;Design;Arts;46;14144590;307491;24.723
William Henry Harrison;Male;1773;Charles City County;United States;North America;Politician;Government;Institutions;88;6307343;71674;247.206
Sharon Tate;Female;1943;Dallas;United States;North America;Actor;Film And Theatre;Arts;30;12151201;405040;247.192
Moshe Dayan;Male;1915;Degania Alef;Israel;Asia;Politician;Government;Institutions;41;2740806;66849;24.719
Harvey Keitel;Male;1939;New York;United States;North America;Actor;Film And Theatre;Arts;39;7483932;191896;247.183
Richard Cromwell;Male;1626;Huntingdon;United Kingdom;Europe;Politician;Government;Institutions;35;1140882;32597;247.177
Jeff Beck;Male;1944;London;United Kingdom;Europe;Musician;Music;Arts;38;8204648;215912;247.166
Staurakios;Male;800;Other;Unknown;Unknown;Politician;Government;Institutions;34;227395;6688;24.716
Theuderic I;Male;484;Other;Unknown;Unknown;Politician;Government;Institutions;35;239591;6845;24.715
Arturo Toscanini;Male;1867;Parma;Italy;Europe;Conductor;Music;Arts;41;1652172;40297;247.128
Mehmed VI;Male;1861;Istanbul;Turkey;Asia;Politician;Government;Institutions;51;1820326;35693;247.128
Ferdinand III, Holy Roman Emperor;Male;1608;Graz;Austria;Europe;Politician;Government;Institutions;43;461665;10736;247.124
Roy Orbison;Male;1936;Vernon;United States;North America;Singer;Music;Arts;41;7892211;192493;247.122
Ptolemy VIII Physcon;Male;-182;Other;Unknown;Unknown;Politician;Government;Institutions;30;272150;9072;24.712
Yves Montand;Male;1921;Monsummano Terme;Italy;Europe;Actor;Film And Theatre;Arts;41;3557696;86773;247.118
Olympe de Gouges;Female;1748;Montauban;France;Europe;Social Activist;Activism;Public Figure;36;2441339;67815;247.114
Lucky Luciano;Male;1897;Lercara Friddi;Italy;Europe;Mafioso;Outlaws;Public Figure;34;9001137;264739;247.106
Walter Raleigh;Male;1552;Devon;United Kingdom;Europe;Writer;Language;Humanities;41;4800379;117082;247.104
Magnentius;Male;303;Amiens;France;Europe;Politician;Government;Institutions;32;304134;9504;247.099
Olivier Messiaen;Male;1908;Avignon;France;Europe;Composer;Music;Arts;41;2407810;58727;247.093
Leopold II of Belgium;Male;1835;Brussels;Belgium;Europe;Politician;Government;Institutions;52;2980980;57327;247.091
Karl Weierstrass;Male;1815;Ennigerloh;Germany;Europe;Mathematician;Math;Science & Technology;45;751099;16691;247.079
Jean-Honoré Fragonard;Male;1732;Grasse;France;Europe;Painter;Fine Arts;Arts;42;1514383;36057;247.077
Minamoto no Yoritomo;Male;1147;Nagoya;Japan;Asia;Politician;Government;Institutions;32;3603281;112603;247.075
Agnolo di Cosimo;Male;1503;Florence;Italy;Europe;Painter;Fine Arts;Arts;42;869892;20712;247.074
Samuel Colt;Male;1814;Hartford;United States;North America;Inventor;Invention;Science & Technology;44;2626892;59702;247.059
William Makepeace Thackeray;Male;1811;Kolkata;India;Asia;Writer;Language;Humanities;51;1578378;30949;247.055
Fyodor Tyutchev;Male;1803;Bryansk;Russia;Europe;Writer;Language;Humanities;54;391827;7256;247.054
Helena Blavatsky;Female;1831;Dnipropetrovsk;Ukraine;Europe;Writer;Language;Humanities;40;2159419;53985;247.054
False Dmitriy I;Male;1581;Moscow;Russia;Europe;Politician;Government;Institutions;34;1598749;47022;247.054
Otto Lilienthal;Male;1848;Anklam;Germany;Europe;Engineer;Engineering;Science & Technology;35;1505831;43024;24.705
Pope Gelasius II;Male;1060;Gaeta;Italy;Europe;Religious Figure;Religion;Institutions;45;382865;8508;247.041
T. E. Lawrence;Male;1888;Tremadog;United Kingdom;Europe;Military Personnel;Military;Institutions;52;6515572;125299;247.029
Rudolf Höss;Male;1901;Baden-Baden;Germany;Europe;Politician;Government;Institutions;35;3413972;97542;247.029
Giuseppe Piazzi;Male;1746;Ponte in Valtellina;Italy;Europe;Astronomer;Natural Sciences;Science & Technology;45;330559;7346;247.022
Nicéphore Niépce;Male;1765;Chalon-sur-Saône;France;Europe;Inventor;Invention;Science & Technology;42;1846100;43955;247.016
Thomas Huxley;Male;1825;Ealing;United Kingdom;Europe;Biologist;Natural Sciences;Science & Technology;44;1875587;42627;247.006
Einhard;Male;775;Maingau;Germany;Europe;Writer;Language;Humanities;31;571005;18420;246.999
Pope Adrian IV;Male;1100;Abbots Langley;United Kingdom;Europe;Religious Figure;Religion;Institutions;55;808758;14705;246.996
Thérèse de Lisieux;Female;1873;Alençon;France;Europe;Religious Figure;Religion;Institutions;45;3415050;75890;246.996
Pope Marinus II;Male;932;Rome;Italy;Europe;Religious Figure;Religion;Institutions;48;295393;6154;246.995
Perdiccas;Male;-350;Other;Unknown;Unknown;Military Personnel;Military;Institutions;30;314740;10491;246.993
Pope Sergius IV;Male;950;Rome;Italy;Europe;Religious Figure;Religion;Institutions;44;341862;7770;246.985
Nikolai Ivanovich Lobachevsky;Male;1792;Nizhny Novgorod;Russia;Europe;Mathematician;Math;Science & Technology;56;629729;11245;246.984
Friedrich Wöhler;Male;1800;Eschersheim;Germany;Europe;Chemist;Natural Sciences;Science & Technology;43;1083215;25191;246.978
Robert Mugabe;Male;1924;Harare;Zimbabwe;Africa;Politician;Government;Institutions;84;7484364;89100;246.976
Edward Gibbon;Male;1737;Putney;United Kingdom;Europe;Historian;History;Humanities;51;1480028;29020;246.965
Pope Sabinian;Male;550;Blera;Italy;Europe;Religious Figure;Religion;Institutions;50;273209;5464;246.959
Arthur Schnitzler;Male;1862;Leopoldstadt;Austria;Europe;Writer;Language;Humanities;38;1722647;45333;246.953
Eyvind Johnson;Male;1900;Boden;Sweden;Europe;Writer;Language;Humanities;56;436696;7798;246.951
Arnold Böcklin;Male;1827;Basel;Switzerland;Europe;Painter;Fine Arts;Arts;33;1040860;31541;246.945
Pope Silvester III;Male;1000;Rome;Italy;Europe;Religious Figure;Religion;Institutions;46;303751;6603;24.693
Arnaut Daniel;Male;1180;Ribérac;France;Europe;Musician;Music;Arts;37;259542;7015;246.926
George I of Great Britain;Male;1660;Hanover;Germany;Europe;Politician;Government;Institutions;54;4409481;81657;246.915
Pope Boniface IX;Male;1356;Naples;Italy;Europe;Religious Figure;Religion;Institutions;50;529408;10588;246.908
Gustav III of Sweden;Male;1746;Stockholm;Sweden;Europe;Politician;Government;Institutions;34;1440132;42357;246.903
Pope Gelasius I;Male;400;Rome;Italy;Europe;Religious Figure;Religion;Institutions;52;878191;16888;246.902
Marin Mersenne;Male;1588;Oizé;France;Europe;Mathematician;Math;Science & Technology;39;505540;12963;246.893
Pope Sergius III;Male;860;Rome;Italy;Europe;Religious Figure;Religion;Institutions;49;568704;11606;246.893
Victor Grignard;Male;1871;Cherbourg-Octeville;France;Europe;Chemist;Natural Sciences;Science & Technology;47;390500;8309;24.689
Alfred Marshall;Male;1842;London;United Kingdom;Europe;Economist;Social Sciences;Science & Technology;39;1750047;44873;246.884
Pope Gregory II;Male;669;Rome;Italy;Europe;Religious Figure;Religion;Institutions;50;342891;6858;246.879
Mary Wollstonecraft;Female;1759;Spitalfields;United Kingdom;Europe;Writer;Language;Humanities;58;3289218;56711;246.877
Rudolph Valentino;Male;1895;Castellaneta;Italy;Europe;Actor;Film And Theatre;Arts;40;4141481;103537;246.872
Narses;Male;478;Other;Unknown;Unknown;Military Personnel;Military;Institutions;30;344897;11497;246.863
Walter Ulbricht;Male;1893;Leipzig;Germany;Europe;Politician;Government;Institutions;42;2265727;53946;246.853
Dale Carnegie;Male;1888;Maryville;United States;North America;Writer;Language;Humanities;38;3777638;99412;246.852
Emmanuel Lévinas;Male;1906;Kaunas;Lithuania;Europe;Philosopher;Philosophy;Humanities;38;1305951;34367;246.846
Laurence Sterne;Male;1713;Clonmel;Ireland;Europe;Writer;Language;Humanities;32;981483;30671;246.846
Edsger Dijkstra;Male;1930;Rotterdam;Netherlands;Europe;Computer Scientist;Computer Science;Science & Technology;47;1395051;29682;246.845
Chet Baker;Male;1929;Yale;United States;North America;Musician;Music;Arts;39;3651102;93618;246.844
Johannes Ockeghem;Male;1410;Saint-Ghislain;Belgium;Europe;Composer;Music;Arts;34;548390;16129;246.842
Pope Clement XI;Male;1649;Urbino;Italy;Europe;Religious Figure;Religion;Institutions;57;826932;14508;246.842
Sergey Korolyov;Male;1907;Zhytomyr;Ukraine;Europe;Engineer;Engineering;Science & Technology;48;1313896;27373;246.829
Pope Leo VIII;Male;900;Rome;Italy;Europe;Religious Figure;Religion;Institutions;46;410269;8919;246.829
Ferdinand Tönnies;Male;1855;Oldenswort;Germany;Europe;Philosopher;Philosophy;Humanities;40;891955;22299;24.682
Anton Webern;Male;1883;Vienna;Austria;Europe;Composer;Music;Arts;40;1300571;32514;246.813
Robert E. Lee;Male;1807;Stratford Hall;United States;North America;Military Personnel;Military;Institutions;53;10928719;206202;24.679
Samuel L. Jackson;Male;1948;Washington, D.C.;United States;North America;Actor;Film And Theatre;Arts;47;19076950;405893;246.782
Robert Louis Stevenson;Male;1850;Edinburgh;United Kingdom;Europe;Writer;Language;Humanities;68;13735073;201986;246.773
Tiglat-pileser III;Male;-780;Other;Unknown;Unknown;Politician;Government;Institutions;34;390193;11476;246.771
Suleiman II;Male;1642;Istanbul;Turkey;Asia;Politician;Government;Institutions;47;727173;15472;246.759
Saint Blaise;Male;250;Sivas;Turkey;Asia;Religious Figure;Religion;Institutions;38;1177485;30986;246.758
'Abdu’l-Hamid I;Male;1725;Istanbul;Turkey;Asia;Politician;Government;Institutions;48;656000;13667;246.752
Gaius Lucilius;Male;-160;Campania;Italy;Europe;Writer;Language;Humanities;26;273305;10512;24.675
Uesugi Kenshin;Male;1530;Echigo Province;Japan;Asia;Politician;Government;Institutions;27;5395986;199851;246.744
Pope John VIII;Male;800;Rome;Italy;Europe;Religious Figure;Religion;Institutions;49;473924;9672;246.741
Madonna;Female;1958;Bay City;United States;North America;Musician;Music;Arts;94;19996250;212726;246.735
Casimir IV Jagiellon;Male;1427;Kraków;Poland;Europe;Politician;Government;Institutions;30;1063640;35455;246.735
Vytautas the Great;Male;1350;Senieji Trakai;Lithuania;Europe;Politician;Government;Institutions;33;863024;26152;246.733
Ferdinand VII of Spain;Male;1784;El Escorial;Spain;Europe;Politician;Government;Institutions;41;2862700;69822;246.731
Suharto;Male;1921;Kemusuk;Indonesia;Asia;Politician;Government;Institutions;66;3833180;58078;246.728
Pope Benedict IV;Male;850;Rome;Italy;Europe;Religious Figure;Religion;Institutions;45;348200;7738;246.727
George Armstrong Custer;Male;1839;New Rumley;United States;North America;Military Personnel;Military;Institutions;41;6026392;146985;24.672
Antiochus II Theos;Male;-286;Syria;Syria;Europe;Politician;Government;Institutions;31;231285;7461;246.718
Michael II;Male;770;Amorium;Turkey;Asia;Politician;Government;Institutions;37;263091;7111;246.704
Jean Genet;Male;1910;Paris;France;Europe;Writer;Language;Humanities;39;2278165;58414;246.699
Arpachshad;Male;-1000;Other;Unknown;Unknown;Religious Figure;Religion;Institutions;27;264018;9778;246.695
Jan Žižka;Male;1360;Borovany;Czech Republic;Europe;Military Personnel;Military;Institutions;28;810169;28935;246.683
Xenocrates;Male;-396;Chalcedon;Turkey;Asia;Philosopher;Philosophy;Humanities;28;261419;9336;246.677
Joseph Brodsky;Male;1940;Saint Petersburg;Russia;Europe;Writer;Language;Humanities;67;1186148;17704;246.675
Pope Honorius II;Male;1080;Papal States;Italy;Europe;Religious Figure;Religion;Institutions;47;350388;7455;24.666
Ildibad;Male;500;Other;Unknown;Unknown;Politician;Government;Institutions;26;163280;6280;246.653
John Maxwell Coetzee;Male;1940;Cape Town;South Africa;Africa;Writer;Language;Humanities;68;2210700;32510;24.665
Boris Vian;Male;1920;Ville-d'Avray;France;Europe;Writer;Language;Humanities;37;3969016;107271;246.648
Ambrogio Lorenzetti;Male;1290;Siena;Italy;Europe;Painter;Fine Arts;Arts;30;773215;25774;246.645
Kubrat;Male;605;Other;Bulgaria;Europe;Politician;Government;Institutions;28;462157;16506;246.643
Otto Stern;Male;1888;Żory;Poland;Europe;Physicist;Natural Sciences;Science & Technology;53;438620;8276;24.664
Ian McKellen;Male;1939;Burnley;United Kingdom;Europe;Actor;Film And Theatre;Arts;49;14463626;295176;246.639
Tarja Halonen;Female;1943;Kallio;Finland;Europe;Politician;Government;Institutions;70;2098324;29976;246.624
Jules Massenet;Male;1842;Montaud;France;Europe;Composer;Music;Arts;36;1399715;38881;246.618
Ulugh Beg;Male;1394;Soltaniyeh;Iran;Asia;Astronomer;Natural Sciences;Science & Technology;41;970133;23662;246.617
Aldo Moro;Male;1916;Maglie;Italy;Europe;Politician;Government;Institutions;48;3454957;71978;246.616
Simon bar Kokhba;Male;100;Other;Unknown;Unknown;Social Activist;Activism;Public Figure;30;630506;21017;246.612
Pope Lucius II;Male;1100;Bologna;Italy;Europe;Religious Figure;Religion;Institutions;49;344115;7023;246.586
Hugh Hefner;Male;1926;Chicago;United States;North America;Businessperson;Business;Business & Law;38;20781134;546872;246.573
Syngman Rhee;Male;1875;Haeju;North Korea;Asia;Politician;Government;Institutions;48;2471424;51488;246.552
Paulo Freire;Male;1921;Recife;Brazil;South America;Philosopher;Philosophy;Humanities;28;5570496;198946;246.545
Anthony Giddens;Male;1938;London;United Kingdom;Europe;Sociologist;Social Sciences;Science & Technology;32;1560236;48757;246.543
Charles IX of Sweden;Male;1550;Tre Kronor;Sweden;Europe;Politician;Government;Institutions;36;723969;20110;246.539
Thor Heyerdahl;Male;1914;Larvik;Norway;Europe;Explorer;Explorers;Exploration;54;2882019;53371;246.521
Pope Clement VIII;Male;1536;Fano;Italy;Europe;Religious Figure;Religion;Institutions;49;832205;16984;246.518
Emil Adolf von Behring;Male;1854;Ławice;Poland;Europe;Physician;Medicine;Science & Technology;52;646722;12437;246.517
Bernadette Soubirous;Female;1844;Lourdes;France;Europe;Religious Figure;Religion;Institutions;34;3712333;109186;246.503
Désirée Clary;Female;1777;Marseille;France;Europe;Companion;Companions;Public Figure;30;1012353;33745;246.495
Macbeth of Scotland;Male;1005;Scotland;United Kingdom;Europe;Politician;Government;Institutions;31;323862;10447;246.495
Yip Man;Male;1893;Foshan;China;Asia;Martial Arts;Individual Sports;Sports;27;10962714;406026;246.487
Giambologna;Male;1529;Douai;France;Europe;Sculptor;Fine Arts;Arts;32;675302;21103;246.465
Pope Damasus II;Male;1000;Duchy of Bavaria;Germany;Europe;Religious Figure;Religion;Institutions;47;423893;9019;246.463
John Travolta;Male;1954;Englewood;United States;North America;Actor;Film And Theatre;Arts;64;26801847;418779;246.461
Glenn Gould;Male;1932;Toronto;Canada;North America;Musician;Music;Arts;34;3596005;105765;246.456
Harald V of Norway;Male;1937;Skaugum;Norway;Europe;Politician;Government;Institutions;59;3258124;55222;246.455
Bohemund I of Antioch;Male;1058;San Marco Argentano;Italy;Europe;Military Personnel;Military;Institutions;34;482035;14178;246.455
Thomas Paine;Male;1737;Thetford;United Kingdom;Europe;Writer;Language;Humanities;57;6088817;106821;246.448
Oscar II of Sweden;Male;1829;Stockholm;Sweden;Europe;Politician;Government;Institutions;38;1280986;33710;246.429
Karl Landsteiner;Male;1868;Vienna;Austria;Europe;Biologist;Natural Sciences;Science & Technology;51;926603;18169;246.403
Mazdak;Male;450;Other;Unknown;Unknown;Philosopher;Philosophy;Humanities;30;446383;14879;246.395
Paul Signac;Male;1863;Paris;France;Europe;Painter;Fine Arts;Arts;37;1597224;43168;246.394
Niklas Luhmann;Male;1927;Lüneburg;Germany;Europe;Sociologist;Social Sciences;Science & Technology;29;1970676;67954;246.381
